"edo_min","nombre_distrito","cve_edo","cve_dtto","cve_edo_dtto","pan","pri","prd","pvem","pt","movimiento_ciudadano","nueva_alianza","morena","encuentro_social","pan_prd_mc","pan_prd","pan_mc","prd_mc","pri_pvem_na","pri_pvem","pri_na","pvem_na","pt_morena_pes","pt_morena","pt_pes","morena_pes","cand_ind_01","cand_ind_02","cnr","vn","total_votos_calculados","lista_nominal_casilla","v_meade","v_amlo","v_anaya","v_bronco","v_nulos_bis","v_validos"
"Guanajuato","ACAMBARO","11","14","1114",40897,20737,4537,7107,5661,5005,1443,44421,2011,713,411,309,67,176,364,52,57,1631,576,94,401,68,13177,107,6351,156373,304179,29936,54795,51939,13177,6419,149954
"Guanajuato","IRAPUATO","11","15","1115",44182,17555,1135,1476,5348,1142,1020,37854,2018,1008,237,217,57,299,283,85,33,1863,551,89,384,167,16793,225,3563,137584,269317,20751,48107,47978,16793,3730,133854
"Guerrero","CD. ALTAMIRANO","12","01","1201",4815,26860,14101,1063,9850,5102,1204,87257,2335,241,235,75,152,264,474,62,28,2354,826,144,607,50,1610,21,6973,166703,262304,29955,103373,24721,1610,7023,159680
"Guerrero","IGUALA","12","02","1202",18622,27075,5779,4544,14321,2906,2613,85351,4153,581,392,180,100,386,1089,113,39,3356,1339,194,859,46,5860,118,6216,186232,290940,35859,109573,28560,5860,6262,179970
"Guerrero","ZIHUATANEJO","12","03","1203",5836,26038,11708,5933,8580,3097,1347,113693,5574,398,192,59,227,327,1080,128,33,3325,1142,161,1309,47,2665,20,8212,201131,315688,34886,133784,21517,2665,8259,192872
"Guerrero","ACAPULCO","12","04","1204",9454,20512,4089,1015,9281,1993,624,110796,5026,665,212,127,103,621,1059,75,56,4977,1840,284,1388,23,4758,50,4127,183155,301653,23962,133592,16643,4758,4150,179005
"Guerrero","TLAPA","12","05","1205",4115,27779,9663,4835,30474,5552,1312,77559,2808,159,101,47,145,165,536,57,55,1660,1172,149,420,3,1332,22,10199,180319,261512,34739,114242,19782,1332,10202,170117
"Guerrero","CHILAPA","12","06","1206",11642,29455,32859,4029,12711,5938,2355,61566,3343,343,347,193,247,231,679,64,45,2076,745,158,547,21,1219,21,11349,182183,271322,36858,81146,51569,1219,11370,170813
"Guerrero","CHILPANCINGO","12","07","1207",5635,25338,5598,1433,13753,1464,1692,94717,2639,460,247,64,124,504,843,107,37,4171,1558,183,713,3,3289,61,4589,169222,268406,29954,117734,13592,3289,4592,164630
"Guerrero","AYUTLA DE LOS LIBRES","12","08","1208",6743,15322,12817,12989,14194,2737,1297,88100,3783,247,254,66,215,187,1478,43,79,2442,1169,181,763,65,945,12,9099,175227,253789,31395,110632,23079,945,9164,166063
"Guerrero","ACAPULCO","12","09","1209",8421,22950,6443,1931,8674,2315,963,87600,6183,490,267,83,84,533,1558,108,47,4447,1710,253,1322,19,2815,35,5370,164621,281298,28090,110189,18103,2815,5389,159232
"Hidalgo","HUEJUTLA DE REYES","13","01","1301",13704,38931,6211,1085,7359,1911,5732,86609,14564,364,378,76,32,525,468,325,59,2591,768,298,1566,72,1995,39,10317,195979,277579,47125,113755,22676,1995,10389,185590
"Hidalgo","IXMIQUILPAN","13","02","1302",17517,28896,6663,1471,14148,1394,3150,99409,2339,633,422,102,41,507,417,178,41,2711,1474,146,775,66,5808,47,5413,193768,296184,34660,121002,26772,5808,5479,188289
"Hidalgo","ACTOPAN","13","03","1303",14962,31539,4322,1896,9132,1540,3169,105723,3935,590,293,105,33,539,424,216,72,3667,1189,177,1153,0,7675,35,4849,197235,299353,37855,124976,21845,7675,4849,192386
"Hidalgo","TULANCINGO DE BRAVO","13","04","1304",16619,27036,3989,1350,5941,1778,2779,92621,2877,553,339,88,52,435,367,208,51,2551,933,126,800,99,8773,69,5462,175896,294332,32226,105849,23418,8773,5561,170335
"Hidalgo","TULA DE ALLENDE","13","05","1305",24325,27331,2614,3415,7288,1470,1991,113874,3477,754,290,142,29,554,646,117,46,4614,1307,198,1109,68,10093,58,4328,210138,318381,34100,131867,29624,10093,4396,205742
"Hidalgo","PACHUCA DE SOTO","13","06","1306",31746,33800,1960,1040,6667,1368,1807,116519,3415,1327,284,205,32,1044,563,236,38,5309,1211,153,1101,91,13884,130,3783,227713,346629,38528,134375,36922,13884,3874,223839
"Hidalgo","TEPEAPULCO","13","07","1307",22565,27109,1509,1014,6051,1255,3483,101802,3084,823,244,127,38,667,339,309,75,3898,1080,178,1065,77,11376,75,3743,191986,286023,32996,117158,26561,11376,3820,188166
"Jalisco","TEQUILA","14","01","1401",31885,26661,1934,2456,12771,19049,2366,54050,2973,792,169,529,95,132,209,71,32,1853,653,106,298,52,9020,96,5551,173803,269226,31927,72704,54453,9020,5603,168200
