"edo_min","nombre_distrito","cve_edo","cve_dtto","cve_edo_dtto","pan","pri","prd","pvem","pt","movimiento_ciudadano","nueva_alianza","morena","encuentro_social","pan_prd_mc","pan_prd","pan_mc","prd_mc","pri_pvem_na","pri_pvem","pri_na","pvem_na","pt_morena_pes","pt_morena","pt_pes","morena_pes","cand_ind_01","cand_ind_02","cnr","vn","total_votos_calculados","lista_nominal_casilla","v_meade","v_amlo","v_anaya","v_bronco","v_nulos_bis","v_validos"
"San Luis Potosí","CIUDAD VALLES","24","04","2404",21838,22314,4539,2365,10939,1732,2391,65973,3597,527,392,200,65,393,610,199,218,2616,984,215,742,103,8530,71,5971,157524,238975,28490,85066,29293,8530,6074,151450
"San Luis Potosí","SAN LUIS POTOSI","24","05","2405",59418,22134,8227,1281,8244,1042,1062,55895,2143,1254,625,362,73,607,388,129,19,2718,903,135,540,73,17139,258,4668,189337,311399,25620,70578,71001,17139,4741,184596
"San Luis Potosí","SAN LUIS POTOSI","24","06","2406",36995,16561,7882,1416,9690,1102,1064,67002,2668,910,555,280,65,428,302,102,35,3097,1043,156,699,295,19975,147,5016,177485,304359,19908,84355,47789,19975,5311,172174
"San Luis Potosí","TAMAZUNCHALE","24","07","2407",33724,38899,8225,2339,15744,3180,4016,56769,4979,733,658,270,111,904,1037,618,123,3023,975,252,778,60,3742,15,12200,193374,272130,47936,82520,46901,3742,12260,181114
"Sinaloa","MAZATLAN","25","01","2501",19287,25902,1844,1147,8644,1552,1101,87715,3108,544,253,162,25,441,848,117,25,3254,1275,208,857,87,4068,69,4722,167255,293360,29581,105061,23667,4068,4809,162446
"Sinaloa","LOS MOCHIS","25","02","2502",21869,26237,1436,666,9893,1176,1040,112500,4075,709,160,186,20,891,676,173,45,5471,1533,270,1403,65,5001,75,4000,199570,321131,29728,135145,25556,5001,4065,195505
"Sinaloa","GUAMUCHIL","25","03","2503",16148,41628,5415,1712,13715,3158,2116,94547,5067,585,326,219,76,834,965,167,112,4018,1429,331,1210,64,2503,68,6747,203160,321025,47534,120317,25927,2503,6811,196349
"Sinaloa","GUASAVE","25","04","2504",13012,37528,2167,1011,10542,1905,2175,105558,4406,324,168,133,35,1041,999,220,109,4168,1493,271,1342,44,2218,39,5411,196319,304001,43083,127780,17744,2218,5455,190864
"Sinaloa","CULIACAN DE ROSALES","25","05","2505",18487,19665,1002,822,9660,1343,1352,105121,3380,655,124,149,19,776,618,142,45,4965,1496,214,1068,129,6110,90,2835,180267,295854,23420,125904,21779,6110,2964,177303
"Sinaloa","MAZATLAN","25","06","2506",21350,28179,1740,3367,9622,2469,1149,85976,3464,733,231,249,56,633,976,119,83,3934,1283,215,939,57,4941,52,4520,176337,294027,34506,105433,26828,4941,4577,171760
"Sinaloa","CULIACAN DE ROSALES","25","07","2507",18355,22875,1444,962,9192,1469,1100,93463,3530,591,161,142,34,691,677,136,60,4602,1403,214,1125,29,4312,73,3571,170211,305860,26501,113529,22196,4312,3600,166611
"Sonora","SAN LUIS RIO COLORADO","26","01","2601",19516,18528,1342,1254,7831,1852,951,63315,2216,354,346,124,29,538,466,101,29,2374,1139,172,670,57,8362,93,3551,135210,288070,21867,77717,23563,8362,3608,131602
"Sonora","NOGALES","26","02","2602",23504,22870,1369,809,12960,3028,793,70477,2356,500,411,224,47,857,595,203,55,2508,1469,178,636,272,11772,60,4156,162109,333881,26182,90584,29083,11772,4428,157681
"Sonora","HERMOSILLO","26","03","2603",20081,20077,761,817,7722,1520,860,73891,2049,620,197,205,21,618,602,130,38,2974,1162,139,645,104,12083,102,3127,150545,304062,23142,88582,23405,12083,3231,147314
"Sonora","GUAYMAS","26","04","2604",20113,25883,2436,2018,11763,1997,2017,76213,2487,364,578,102,45,1046,880,261,42,2863,1405,205,697,123,7399,25,4827,165789,291128,32147,95633,25635,7399,4950,160839
"Sonora","HERMOSILLO","26","05","2605",26631,23971,766,709,7224,1581,828,70837,1816,770,243,238,27,807,671,124,93,2713,1116,141,608,24,12109,89,2771,156907,295976,27203,84455,30256,12109,2795,154112
"Sonora","CD. OBREGON","26","06","2606",12779,17165,1007,992,7634,2086,694,99284,2801,363,132,113,39,586,484,111,38,3813,1487,190,962,136,8876,103,3337,165212,320447,20070,116171,16519,8876,3473,161739
"Sonora","NAVOJOA","26","07","2607",13927,26434,2015,723,8635,1635,1156,81507,2283,271,476,118,36,958,853,207,36,3021,1329,215,846,142,3159,31,4590,154603,268124,30367,97836,18478,3159,4732,149871
"Tabasco","MACUSPANA","27","01","2701",3935,12529,6330,3905,5386,1445,1695,119165,7245,388,128,30,85,158,224,72,56,3509,739,174,848,113,970,38,5215,174382,244672,18639,137066,12341,970,5328,169054
"Tabasco","HEROICA CARDENAS","27","02","2702",2487,14493,20114,1019,6226,1280,1015,144615,2705,439,218,34,222,156,217,39,30,3760,1179,177,895,79,1144,102,6704,209349,300820,16969,159557,24794,1144,6783,202566
"Tabasco","COMALCALCO","27","03","2703",2736,16580,14670,1014,5545,979,616,116490,2006,790,236,49,179,185,225,45,20,2896,1072,147,720,17,1190,25,4332,172764,240831,18685,128876,19639,1190,4349,168415
"Tabasco","VILLAHERMOSA","27","04","2704",5282,12031,2372,702,5439,1108,756,174813,2155,358,86,44,54,250,158,74,9,5719,1727,187,1245,48,2858,58,2800,220333,309831,13980,191285,9304,2858,2848,217485
"Tabasco","PARAISO","27","05","2705",3678,14121,7545,2904,8379,1356,1242,162507,4806,354,134,35,110,155,271,46,26,3733,1352,172,1104,14,1513,20,5498,221075,295256,18765,182053,13212,1513,5512,215563
"Tabasco","VILLAHERMOSA","27","06","2706",4315,14647,4714,3756,7304,2160,1505,144373,3029,497,125,51,126,189,268,49,66,4875,1438,200,1077,107,2074,36,5297,202278,296208,20480,162296,11988,2074,5404,196874
"Tamaulipas","NUEVO LAREDO","28","01","2801",49681,22126,891,1128,5703,1125,805,55777,1875,851,279,258,28,235,201,62,27,2072,770,104,461,409,17788,108,3332,166096,310391,24584,66762,53113,17788,3741,162355
"Tamaulipas","REYNOSA","28","02","2802",41975,17436,885,832,7263,804,858,69567,4644,874,260,255,17,187,167,64,34,2656,878,144,750,273,11635,34,3084,165576,280245,19578,85902,45070,11635,3357,162219
"Tamaulipas","RIO BRAVO","28","03","2803",47888,27974,1640,801,9522,1302,786,66054,3515,761,329,260,34,156,249,51,25,2158,780,186,623,75,8742,37,4298,178246,293905,30042,82838,52214,8742,4373,173873
"Tamaulipas","H. MATAMOROS","28","04","2804",36421,23655,1233,800,8443,1258,480,80107,2312,863,213,225,15,208,293,95,63,2284,939,129,549,38,9448,105,3400,173576,298768,25594,94763,40228,9448,3438,170138
"Tamaulipas","CIUDAD VICTORIA","28","05","2805",59240,34101,948,725,12706,1567,1115,65038,3044,1163,257,469,25,365,292,135,34,2638,787,150,519,164,16389,95,4328,206294,299833,36767,84882,63669,16389,4492,201802
"Tamaulipas","CIUDAD MANTE","28","06","2806",67371,34056,3366,1791,8264,4819,1473,58272,3703,801,453,529,59,251,327,91,42,2139,649,135,576,27,7200,18,5780,202192,280872,38031,73738,77398,7200,5807,196385
"Tamaulipas","CIUDAD MADERO","28","07","2807",41739,18264,1116,1121,7937,1211,764,83283,2882,1173,277,279,19,252,220,60,14,3241,1109,152,699,80,12942,41,3392,182267,284880,20695,99303,45814,12942,3472,178795
"Tamaulipas","TAMPICO","28","08","2808",53937,18930,1066,879,8216,1010,478,85262,2487,1404,325,256,16,321,249,77,9,3261,976,142,587,27,17484,63,3306,200768,297197,20943,100931,58014,17484,3333,197435
"Tamaulipas","REYNOSA","28","09","2809",35648,10611,1120,590,8692,1010,537,80186,2518,713,263,312,19,86,154,22,37,2709,987,153,625,50,8539,18,2996,158595,282654,12037,95870,39085,8539,3046,155549
"Tlaxcala","APIZACO","29","01","2901",21201,24818,2272,1667,14044,1450,1107,99231,3611,781,269,151,42,614,573,91,35,4823,1644,258,978,122,10013,151,4987,194933,300472,28905,124589,26166,10013,5109,189824
"Tlaxcala","TLAXCALA DE XICOHTENCATL","29","02","2902",15893,20931,2289,965,13470,1520,968,131083,4466,794,263,145,35,653,565,154,30,6826,2048,267,1564,40,8136,56,3617,216778,312644,24266,159724,20939,8136,3657,213121
"Tlaxcala","ZACATELCO","29","03","2903",14817,18485,2262,893,14431,1464,1182,119645,4961,621,242,127,29,493,353,113,38,5759,1814,297,1287,51,7787,69,3781,201001,308900,21557,148194,19562,7787,3832,197169
"Veracruz","PANUCO","30","01","3001",43569,19486,2583,2484,5342,2193,1215,64471,5394,681,363,154,18,199,479,51,24,1966,572,149,746,60,4444,17,4208,160868,241139,23938,78640,49561,4444,4268,156600
"Veracruz","TANTOYUCA","30","02","3002",49861,23662,11582,7376,6309,3707,1484,58893,2190,758,850,105,51,250,845,63,57,1293,443,92,400,87,1882,13,5745,177998,246309,33737,69620,66914,1882,5832,172166
"Veracruz","TUXPAN DE RODRIGUEZ CANO","30","03","3003",40747,19551,2214,1803,4562,1565,855,77269,1657,736,488,141,23,213,441,48,20,1868,656,91,548,69,5569,51,3855,165040,248900,22931,86651,45914,5569,3924,161116
"Veracruz","VERACRUZ","30","04","3004",58252,11220,1724,1555,4769,887,486,83854,1623,1728,964,302,19,204,411,31,23,2319,835,86,608,27,13551,125,3312,188915,321098,13930,94094,63876,13551,3339,185576
"Veracruz","POZA RICA DE HIDALGO","30","05","3005",21993,14304,10236,808,4633,883,733,91964,1506,1215,1147,105,67,207,268,50,16,2594,1019,95,606,29,7404,51,3643,165576,250521,16386,102417,35646,7404,3672,161904
"Veracruz","PAPANTLA DE OLARTE","30","06","3006",38868,22603,11866,3412,6120,5421,1499,82534,2274,1030,801,215,66,267,636,61,44,1893,604,107,564,56,3806,90,4698,189535,286127,28522,94096,58267,3806,4754,184781
"Veracruz","MARTINEZ DE LA TORRE","30","07","3007",36384,20850,3957,2455,5639,4083,1222,89533,2148,957,598,319,46,200,739,49,21,1967,753,107,651,33,4690,99,5352,182852,283027,25536,100798,46344,4690,5385,177467
"Veracruz","XALAPA","30","08","3008",53917,23222,7841,2970,5744,2028,1080,92297,2384,1374,1153,238,35,291,1016,52,35,2100,762,137,650,52,7060,52,5065,211555,315892,28666,104074,66586,7060,5117,206438
"Veracruz","COATEPEC","30","09","3009",46169,24628,5902,1057,5342,1646,1014,78493,2238,1155,977,191,34,229,677,54,18,1793,637,114,553,63,7096,43,5105,185228,272503,27677,89170,56074,7096,5168,180060
"Veracruz","XALAPA","30","10","3010",44080,19157,2022,1321,4888,1303,829,116607,2208,1175,495,200,24,344,580,56,22,2985,1044,136,794,59,15677,122,3922,220050,323195,22309,128662,49299,15677,3981,216069
"Veracruz","COATZACOALCOS","30","11","3011",21691,14838,2307,459,4170,956,1098,131941,2535,947,311,118,27,272,331,48,9,5241,1087,197,1228,40,5889,45,3625,199410,305208,17055,146399,26357,5889,3665,195745
"Veracruz","VERACRUZ","30","12","3012",82144,17258,1434,2034,4923,1428,600,83734,2140,1924,909,435,22,296,651,50,28,2193,826,97,569,130,12629,168,4209,220831,336028,20917,94482,88296,12629,4339,216492
"Veracruz","HUATUSCO","30","13","3013",53512,22827,4095,2454,5563,1903,1236,88564,2280,1010,684,224,43,247,782,70,35,1790,745,112,722,48,5386,93,5688,200113,303513,27651,99776,61471,5386,5736,194377
"Veracruz","MINATITLAN","30","14","3014",28841,15851,4593,953,6238,1635,1037,98771,2497,1334,709,177,38,262,353,43,25,3500,951,162,820,117,3685,69,4766,177427,276057,18524,112939,37327,3685,4883,172544
"Veracruz","ORIZABA","30","15","3015",37981,18335,6522,2218,5975,2017,889,97271,2481,1331,864,260,47,269,743,52,34,3212,967,202,761,77,9264,73,5434,197279,292558,22540,110869,49022,9264,5511,191768
"Veracruz","CORDOBA","30","16","3016",39818,21745,2932,1225,5823,1541,891,108473,2851,1080,463,185,34,289,670,58,10,3131,922,134,997,81,9179,61,4490,207083,302994,24888,122331,46053,9179,4571,202512
"Veracruz","COSAMALOAPAN","30","17","3017",42485,17441,6551,1426,6437,1974,975,85439,1970,978,886,180,38,214,555,34,12,2414,1031,145,702,50,3602,37,5620,181196,287016,20657,98138,53092,3602,5670,175526
"Veracruz","ZONGOLICA","30","18","3018",36343,23439,10122,2734,7862,4907,1337,87121,3001,1176,1003,359,113,245,892,59,40,2633,847,168,722,48,4342,52,7555,197120,283145,28746,102354,54023,4342,7603,189517
"Veracruz","SAN ANDRES TUXTLA","30","19","3019",44302,14907,9549,4154,4954,2066,1441,84638,2432,1661,1144,303,93,298,802,100,41,2296,766,137,668,63,4180,17,6988,188000,303659,21743,95891,59118,4180,7051,180949
"Veracruz","COSOLEACAQUE","30","20","3020",26711,22009,6355,890,5808,2056,1040,110797,3139,803,746,119,34,283,564,47,23,3185,788,155,788,35,3352,19,4758,194504,297029,24856,124660,36824,3352,4793,189711
"Yucatán","VALLADOLID","31","01","3101",53703,71015,2261,4652,5695,3046,2020,69897,2430,358,201,256,12,263,581,75,45,1354,410,80,394,68,3459,24,4479,226778,278151,78651,80260,59837,3459,4547,222231
"Yucatán","PROGRESO","31","02","3102",50156,55830,4034,7179,8418,3467,3938,66887,3748,461,252,453,32,328,495,157,82,2125,630,105,599,67,5919,31,5841,221234,293836,68009,82512,58855,5919,5908,215326
"Yucatán","MERIDA","31","03","3103",51507,45619,998,954,8559,1136,655,90716,3083,1027,239,607,32,839,1053,120,9,3734,1055,180,783,76,12745,104,5065,230895,341019,49249,108110,55546,12745,5141,225754
"Yucatán","MERIDA","31","04","3104",76779,47129,940,1016,7682,1179,721,85135,2621,1308,265,716,34,795,938,116,38,3159,869,150,667,153,14065,122,4684,251281,338827,50753,100283,81221,14065,4837,246444
"Yucatán","TICUL","31","05","3105",50548,63886,9106,5874,11674,3374,6818,67312,2433,406,725,276,52,192,393,140,45,1283,514,90,320,20,2914,49,5436,233880,292229,77348,83626,64487,2914,5456,228424
"Zacatecas","FRESNILLO","32","01","3201",26558,28880,5482,3382,14848,1889,1947,67041,2458,838,660,186,49,267,373,75,50,2569,1554,166,500,176,10035,91,4895,174969,277083,34974,89136,35662,10035,5071,169898
"Zacatecas","JEREZ DE GARCIA SALINAS","32","02","3202",38638,35019,9862,9308,14919,2946,2236,56319,3605,1266,905,238,80,197,449,92,95,1886,820,145,465,208,8682,36,7295,195711,307015,47396,78159,53935,8682,7503,188208
"Zacatecas","ZACATECAS","32","03","3203",25842,34152,3928,5324,15567,1714,7555,75827,2817,849,474,153,40,308,441,152,73,2645,1457,192,539,159,9455,87,5891,195641,291084,48005,99044,33000,9455,6050,189591
"Zacatecas","GUADALUPE","32","04","3204",20967,42404,8447,2407,15606,3038,1584,75488,2865,780,415,142,113,266,412,79,30,2654,1243,161,554,116,7995,83,5476,193325,287277,47182,98571,33902,7995,5592,187733
